cit-Patents.bin 0.27296
soc-sign-Slashdot081106.bin 0.008799
p2p-Gnutella30.bin 0.00681
p2p-Gnutella06.bin 0.006578
ca-GrQc.bin 0.006488
p2p-Gnutella08.bin 0.006449
p2p-Gnutella24.bin 0.007302
as-caida.bin 0.009877
soc-Slashdot0902.bin 0.010909
ca-CondMat.bin 0.007017
web-NotreDame.bin 0.020212
soc-sign-Slashdot090221.bin 0.008713
p2p-Gnutella09.bin 0.006505
soc-Epinions1.bin 0.011351
ca-HepPh.bin 0.007094
roadNet-CA.bin 0.055073
wiki-Vote.bin 0.006668
amazon0601.bin 0.02466
web-BerkStan.bin 0.035686
p2p-Gnutella05.bin 0.00608
soc-Slashdot0811.bin 0.010411
ca-HepTh.bin 0.006147
amazon0505.bin 0.024942
p2p-Gnutella25.bin 0.006715
com-youtube.ungraph.bin 0.082737
ca-AstroPh.bin 0.00717
roadNet-PA.bin 0.034358
wiki-Talk.bin 0.174596
higgs-social_network.bin 0.056036
email-EuAll.bin 0.014556
email-Enron.bin 0.008695
com-amazon.ungraph.bin 0.019211
web-Stanford.bin 0.018947
soc-sign-Slashdot090216.bin 0.008807
cit-HepPh.bin 0.007459
amazon0312.bin 0.02404
p2p-Gnutella04.bin 0.006122
com-lj.ungraph.bin 0.541354
Oregon-1.bin 0.008137
Oregon-2.bin 0.006885
web-Google.bin 0.066828
as-Skitter.bin 0.129664
amazon0302.bin 0.014304
as-735.bin 0.007881
com-dblp.ungraph.bin 0.019129
soc-LiveJournal1.bin 0.580154
soc-pokec-relationships.bin 0.305802
soc-sign-epinions.bin 0.014838
com-orkut.ungraph.bin 1.66155
roadNet-TX.bin 0.040886
cit-HepTh.bin 0.007585
p2p-Gnutella31.bin 0.007015
cit-Patents.bin 0.272829
soc-sign-Slashdot081106.bin 0.008504
p2p-Gnutella30.bin 0.006369
p2p-Gnutella06.bin 0.006229
ca-GrQc.bin 0.006032
p2p-Gnutella08.bin 0.011226
p2p-Gnutella24.bin 0.006739
as-caida.bin 0.008859
soc-Slashdot0902.bin 0.01094
ca-CondMat.bin 0.007121
web-NotreDame.bin 0.020208
soc-sign-Slashdot090221.bin 0.008881
p2p-Gnutella09.bin 0.006435
soc-Epinions1.bin 0.011291
ca-HepPh.bin 0.007087
roadNet-CA.bin 0.055028
wiki-Vote.bin 0.006714
amazon0601.bin 0.024691
web-BerkStan.bin 0.035642
p2p-Gnutella05.bin 0.006076
soc-Slashdot0811.bin 0.010384
ca-HepTh.bin 0.006532
amazon0505.bin 0.024915
p2p-Gnutella25.bin 0.006728
com-youtube.ungraph.bin 0.085015
ca-AstroPh.bin 0.007536
roadNet-PA.bin 0.034497
wiki-Talk.bin 0.174687
higgs-social_network.bin 0.055993
email-EuAll.bin 0.014571
email-Enron.bin 0.008689
com-amazon.ungraph.bin 0.019206
web-Stanford.bin 0.01892
soc-sign-Slashdot090216.bin 0.008756
cit-HepPh.bin 0.007844
amazon0312.bin 0.024071
p2p-Gnutella04.bin 0.006259
com-lj.ungraph.bin 0.541439
Oregon-1.bin 0.008165
Oregon-2.bin 0.006889
web-Google.bin 0.066884
as-Skitter.bin 0.129635
amazon0302.bin 0.014203
as-735.bin 0.007544
com-dblp.ungraph.bin 0.018718
soc-LiveJournal1.bin 0.580411
soc-pokec-relationships.bin 0.305861
soc-sign-epinions.bin 0.014847
com-orkut.ungraph.bin 1.66165
roadNet-TX.bin 0.040914
cit-HepTh.bin 0.008524
p2p-Gnutella31.bin 0.007169
cit-Patents.bin 0.272875
soc-sign-Slashdot081106.bin 0.008554
p2p-Gnutella30.bin 0.006444
p2p-Gnutella06.bin 0.006221
ca-GrQc.bin 0.006116
p2p-Gnutella08.bin 0.006086
p2p-Gnutella24.bin 0.006349
as-caida.bin 0.008447
soc-Slashdot0902.bin 0.010708
ca-CondMat.bin 0.006677
web-NotreDame.bin 0.020132
soc-sign-Slashdot090221.bin 0.008634
p2p-Gnutella09.bin 0.006128
soc-Epinions1.bin 0.014683
ca-HepPh.bin 0.007132
roadNet-CA.bin 0.059634
wiki-Vote.bin 0.007048
amazon0601.bin 0.024749
web-BerkStan.bin 0.035615
p2p-Gnutella05.bin 0.006094
soc-Slashdot0811.bin 0.010395
ca-HepTh.bin 0.006153
amazon0505.bin 0.024932
p2p-Gnutella25.bin 0.006315
com-youtube.ungraph.bin 0.082785
ca-AstroPh.bin 0.007203
roadNet-PA.bin 0.034274
wiki-Talk.bin 0.174707
higgs-social_network.bin 0.056116
email-EuAll.bin 0.014595
email-Enron.bin 0.008702
com-amazon.ungraph.bin 0.019164
web-Stanford.bin 0.018814
soc-sign-Slashdot090216.bin 0.008713
cit-HepPh.bin 0.007811
amazon0312.bin 0.024094
p2p-Gnutella04.bin 0.006568
com-lj.ungraph.bin 0.554425
Oregon-1.bin 0.008483
Oregon-2.bin 0.00712
web-Google.bin 0.06689
as-Skitter.bin 0.129565
amazon0302.bin 0.014155
